Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Closing_Price_Diff
2017-04-22,729.36125,707.13375,730.0725,702.9975,22.227500000000077
2017-04-23,720.2525,729.36125,739.985,718.07875,-9.108749999999986
2017-04-24,715.57125,720.2525,720.34375,708.995,-4.681250000000091
2017-04-25,716.7725,715.57125,719.2725,714.0675,1.2012500000000728
2017-04-26,695.72125,716.7725,716.7725,694.5675,-21.051249999999982
2017-04-27,705.62125,695.72125,705.65,687.0225,9.899999999999977
2017-04-28,712.39625,705.62125,714.0725,699.5175,6.774999999999977
2017-04-29,711.9275,712.39625,717.215,710.3275,-0.46875
2017-04-30,746.92625,711.9275,747.36375,711.6725,34.99874999999997
2017-05-01,739.665,746.92625,753.0375,732.9825,-7.261250000000018
2017-05-02,749.8075,739.665,752.1375,738.915,10.142500000000041
2017-05-03,753.5525,749.8075,755.54625,741.13375,3.7450000000000045
2017-05-04,731.365,753.5525,754.765,714.13,-22.1875
2017-05-05,735.84,731.365,739.62875,729.015,4.475000000000023
2017-05-06,746.97875,735.84,751.80125,735.55,11.138749999999959
2017-05-07,740.81875,746.97875,747.575,733.20875,-6.159999999999968
2017-05-08,731.3125,740.81875,741.87625,728.9875,-9.506250000000023
2017-05-09,738.4025,731.3125,739.51375,729.38125,7.090000000000032
2017-05-10,728.445,738.4025,739.155,725.1275,-9.957499999999982
2017-05-11,732.9,728.445,736.405,728.43875,4.454999999999927
2017-05-12,732.12625,732.9,735.1425,730.4725,-0.77374999999995
2017-05-13,732.64,732.12625,735.43375,729.60375,0.5137499999999591
2017-05-14,745.1025,732.64,745.47,731.71125,12.462499999999977
2017-05-15,767.5925,745.1025,768.105,745.1025,22.49000000000001
2017-05-16,770.915,767.5925,779.1425,764.83875,3.322499999999991
2017-05-17,765.3575,770.915,771.12125,758.835,-5.5575000000000045
2017-05-18,761.1,765.3575,768.24125,760.91875,-4.257499999999936
2017-05-19,755.82625,761.1,761.40625,746.6975,-5.273750000000064
2017-05-20,759.35375,755.82625,760.89,752.95625,3.527500000000032
2017-05-21,764.23625,759.35375,769.31875,753.165,4.88250000000005
2017-05-22,767.8725,764.23625,772.42,763.7025,3.6362499999999045
2017-05-23,774.2825,767.8725,774.3225,767.33,6.410000000000082
2017-05-24,766.9525,774.2825,776.08625,765.3675,-7.330000000000041
2017-05-25,770.8275,766.9525,770.86375,764.31625,3.875
2017-05-26,775.38625,770.8275,789.48625,767.9025,4.558750000000032
2017-05-27,779.35625,775.38625,782.585,772.5475,3.9700000000000273
2017-05-28,777.9825,779.35625,780.605,772.3925,-1.3737500000000864
2017-05-29,777.415,777.9825,779.2175,773.7675,-0.5674999999999955
2017-05-30,787.9725,777.415,791.83875,776.50125,10.557500000000005
2017-05-31,790.24625,787.9725,791.30375,786.57375,2.2737500000000637
2017-06-01,792.0,790.24625,792.16,786.2375,1.7537499999999682
2017-06-02,790.2325,792.0,793.2825,789.65625,-1.767500000000041
2017-06-03,806.79625,790.2325,807.1975,789.44875,16.563750000000027
2017-06-04,843.63875,806.79625,843.96625,806.14875,36.84249999999997
2017-06-05,911.9325,843.63875,911.9325,843.17875,68.29375000000005
2017-06-06,911.2475,911.9325,919.94875,879.91,-0.6850000000000591
2017-06-07,871.13125,911.2475,917.55625,870.47,-40.11624999999992
2017-06-08,906.45625,871.13125,910.84625,859.03625,35.32499999999993
2017-06-09,901.36625,906.45625,907.88875,894.62125,-5.089999999999918
2017-06-10,949.89875,901.36625,950.80625,901.02625,48.532499999999914
2017-06-11,972.645,949.89875,983.86875,948.03,22.746250000000032
2017-06-12,955.84375,972.645,978.7925,950.61875,-16.801249999999982
2017-06-13,953.455,955.84375,965.72625,929.9875,-2.388749999999959
2017-06-14,965.325,953.455,969.485,950.08625,11.870000000000005
2017-06-15,1010.97375,965.325,1012.525,964.53,45.64874999999995
2017-06-16,1029.33375,1010.97375,1035.105,999.62125,18.360000000000014
2017-06-17,1048.09999,1029.33375,1049.12375,1014.3775,18.766239999999925
2017-06-18,1141.385,1048.09999,1142.9975,1048.06375,93.28501000000006
2017-06-19,986.93875,1141.385,1154.02,888.46625,-154.44624999999996
2017-06-20,838.83625,986.93875,991.37125,822.655,-148.10250000000008
2017-06-21,924.52375,838.83625,924.7475,817.36375,85.6875
2017-06-22,890.33875,924.52375,943.0625,879.10125,-34.184999999999945
2017-06-23,906.22625,890.33875,912.99625,882.1575,15.887500000000045
2017-06-24,911.60625,906.22625,915.02375,898.57375,5.3799999999999955
